_id,Date & Time,Category,Location
65c9a411da14d7fbdcea73b7,24-02-12 10:22:33,,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/52.jpg
65c9a412da14d7fbdcea73b9,24-02-12 10:22:34,,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/53.jpg
65c9a412da14d7fbdcea73bb,24-02-12 10:22:34,,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/54.jpg
65c9a412da14d7fbdcea73bd,24-02-12 10:22:34,car,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/55.jpg
65c9a412da14d7fbdcea73bf,24-02-12 10:22:34,car,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/56.jpg
65c9a413da14d7fbdcea73c1,24-02-12 10:22:35,car,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/57.jpg
65c9a433da14d7fbdcea73c3,24-02-12 10:23:07,traffic light,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/58.jpg
65c9a433da14d7fbdcea73c5,24-02-12 10:23:07,,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/59.jpg
65c9a434da14d7fbdcea73c7,24-02-12 10:23:08,traffic light,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/60.jpg
65c9a43dda14d7fbdcea73c9,24-02-12 10:23:17,,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/61.jpg
65c9a43eda14d7fbdcea73cb,24-02-12 10:23:18,,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/62.jpg
65c9a43eda14d7fbdcea73cd,24-02-12 10:23:18,,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/63.jpg
65c9a43fda14d7fbdcea73cf,24-02-12 10:23:18,,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/64.jpg
65c9a43fda14d7fbdcea73d1,24-02-12 10:23:19,,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/65.jpg
65c9a440da14d7fbdcea73d3,24-02-12 10:23:19,,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/66.jpg
65c9a440da14d7fbdcea73d5,24-02-12 10:23:20,,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/67.jpg
65c9a440da14d7fbdcea73d7,24-02-12 10:23:20,,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/68.jpg
65c9a441da14d7fbdcea73d9,24-02-12 10:23:21,traffic light,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/69.jpg
65c9a441da14d7fbdcea73db,24-02-12 10:23:21,traffic light,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/70.jpg
65c9a441da14d7fbdcea73dd,24-02-12 10:23:21,car,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/71.jpg
65c9a441da14d7fbdcea73df,24-02-12 10:23:21,car,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/72.jpg
65c9a442da14d7fbdcea73e1,24-02-12 10:23:22,,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/73.jpg
65c9a442da14d7fbdcea73e3,24-02-12 10:23:22,,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/74.jpg
65c9a442da14d7fbdcea73e5,24-02-12 10:23:22,,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/75.jpg
65c9a442da14d7fbdcea73e7,24-02-12 10:23:22,,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/76.jpg
